interaction_id,disease_id,molecule_a,molecule_b,identifier_a,identifier_b,species_a,species_b,host_organism,positive_interaction,detection_method,interaction_type,confidence_value
26,1,CHRNA7,P05067-PRO_0000000092,UniProtP36544,UniProtP05067-PRO_0000000092,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,physical association,0.7
27,1,DNM1L,MIEF2,UniProtO00429,UniProtQ96C03,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,physical association,0.7
28,1,MAPT,DCTN1,UniProtP10636-8,UniProtQ14203,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.7
29,1,TGFB2,APP,UniProtP61812,UniProtP05067,Homo sapiens,Homo sapiens,Homo sapiens 308 cystic glioblastoma cell,1,anti bait coip,physical association,0.7
30,1,TGFB2,APP,UniProtP61812,UniProtP05067,Homo sapiens,Homo sapiens,Homo sapiens 308 cystic glioblastoma cell,1,chromatography,physical association,0.7
31,1,TGFB2,APP,UniProtP61812,UniProtP05067,Homo sapiens,Homo sapiens,Homo sapiens 308 cystic glioblastoma cell,1,chromatography,physical association,0.7
32,1,TGFB2,APP,UniProtP61812,UniProtP05067,Homo sapiens,Homo sapiens,Homo sapiens 308 cystic glioblastoma cell,1,chromatography,physical association,0.7
33,1,C9orf72,ATG13,UniProtQ96LT7-1,UniProtO75143,Homo sapiens,Homo sapiens,Homo sapiens motor neuron,1,anti tag coip,association,0.69
34,1,DNM1L,MIEF1,UniProtO00429,UniProtQ9NQG6,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,physical association,0.69
35,1,MAPT,TUBA1A,UniProtP10636-8,UniProtQ71U36,Homo sapiens,Homo sapiens,Homo sapiens SK-N-BE(2) neuroblastoma cell,1,tap,association,0.69
36,1,P05067-PRO_0000000092,Chrna7,UniProtP05067-PRO_0000000092,UniProtQ05941,Homo sapiens,Rattus norvegicus (Rat),Rattus norvegicus PC12 cells,1,anti bait coip,physical association,0.69
37,1,SORL1,APP,UniProtQ92673,UniProtP05067,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,confocal microscopy,colocalization,0.69
38,1,SORL1,APP,UniProtQ92673,UniProtP05067,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,crosslink,physical association,0.69
39,1,MAPT,MARK2,UniProtP10636-8,UniProtQ7KZI7,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.68
40,1,APP,ACTB,UniProtP05067,UniProtP60709,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.67
41,1,APP,ACTB,UniProtP05067,UniProtP60709,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.67
42,1,APP,CRYAB,UniProtP05067,UniProtP02511,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.67
43,1,APP,CRYAB,UniProtP05067,UniProtP02511,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.67
44,1,APP,CRYAB,UniProtP05067,UniProtP02511,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.67
45,1,APP,CRYAB,UniProtP05067,UniProtP02511,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.67
46,1,APP,HSP90AA1,UniProtP05067,UniProtP07900,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.67
47,1,APP,HSP90AA1,UniProtP05067,UniProtP07900,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.67
48,1,APP,HSPA8,UniProtP05067,UniProtP11142,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.67
49,1,APP,HSPA8,UniProtP05067,UniProtP11142,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.67
50,1,APP,PGAM1,UniProtP05067,UniProtP18669,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.67
51,1,APP,PPIA,UniProtP05067,UniProtP62937,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.67
52,1,APP,STXBP1,UniProtP05067,UniProtP61764,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.67
53,1,APP,TUBB,UniProtP05067,UniProtP07437,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.67
54,1,APP,TUBB,UniProtP05067,UniProtP07437,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.67
55,1,BACE1,GGA1,UniProtP56817,UniProtQ9UJY5,Homo sapiens,Homo sapiens,Mouse neuroblastoma cells,1,confocal microscopy,colocalization,0.67
56,1,BACE1,GGA1,UniProtP56817,UniProtQ9UJY5,Homo sapiens,Homo sapiens,Mouse neuroblastoma cells,1,fret,proximity,0.67
57,1,C9orf72,ULK1,UniProtQ96LT7-1,UniProtO75385,Homo sapiens,Homo sapiens,Homo sapiens motor neuron,1,anti tag coip,association,0.67
58,1,MAPT,CALM1,UniProtP10636-8,UniProtP0DP25,Homo sapiens,Homo sapiens,Homo sapiens SK-N-BE(2) neuroblastoma cell,1,tap,association,0.67
59,1,MAPT,CALM1,UniProtP10636-8,UniProtP0DP25,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.67
60,1,MAPT,CALM1,UniProtP10636-8,UniProtP0DP25,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.67
61,1,MAPT,MAPT,UniProtP10636,UniProtP10636,Homo sapiens,Homo sapiens,Homo sapiens brain frontal lobe,1,3d-em,direct interaction,0.67
62,1,MAPT,PPP2R1A,UniProtP10636-8,UniProtP30153,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.67
63,1,MAPT,PPP2R1A,UniProtP10636-8,UniProtP30153,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.67
64,1,MAPT,PPP2R1A,UniProtP10636-8,UniProtP30153,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.67
65,1,MAPT,PSMC2,UniProtP10636-8,UniProtP35998,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.67
66,1,MAPT,PSMC2,UniProtP10636-8,UniProtP35998,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.67
67,1,MAPT,PSMC2,UniProtP10636-8,UniProtP35998,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.67
68,1,MAPT,YWHAG,UniProtP10636-8,UniProtP61981,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.67
69,1,MAPT,YWHAG,UniProtP10636-8,UniProtP61981,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.67
70,1,MAPT,YWHAG,UniProtP10636-8,UniProtP61981,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.67
71,1,MAPT,YWHAQ,UniProtP10636-8,UniProtP27348,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.67
72,1,MAPT,YWHAQ,UniProtP10636-8,UniProtP27348,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.67
73,1,MAPT,YWHAQ,UniProtP10636-8,UniProtP27348,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.67
74,1,APP,PIN1,UniProtP05067,UniProtQ13526,Homo sapiens,Homo sapiens,Homo sapiens H4 neurogioma cell,1,light microscopy,colocalization,0.65
75,1,CHRNA7,APP,UniProtP36544,UniProtP05067,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,imaging technique,colocalization,0.65
76,1,GSK3B,LRRK2,UniProtP49841,UniProtQ5S007,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,physical association,0.65
77,1,DNM1L,MFF,UniProtO00429,UniProtQ9GZY8,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,physical association,0.64
78,1,MAPT,ACTB,UniProtP10636-8,UniProtP60709,Homo sapiens,Homo sapiens,Homo sapiens SK-N-BE(2) neuroblastoma cell,1,tap,association,0.64
79,1,MAPT,ACTB,UniProtP10636-8,UniProtP60709,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
80,1,MAPT,DCTN2,UniProtP10636-8,UniProtQ13561,Homo sapiens,Homo sapiens,Homo sapiens SK-N-BE(2) neuroblastoma cell,1,tap,association,0.64
81,1,MAPT,DCTN2,UniProtP10636-8,UniProtQ13561,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
82,1,MAPT,EEF1G,UniProtP10636-8,UniProtP26641,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
83,1,MAPT,EEF1G,UniProtP10636-8,UniProtP26641,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.64
84,1,MAPT,HNRNPA2B1,UniProtP10636-8,UniProtP22626,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
85,1,MAPT,HNRNPA2B1,UniProtP10636-8,UniProtP22626,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.64
86,1,MAPT,HSPA5,UniProtP10636-8,UniProtP11021,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
87,1,MAPT,HSPA5,UniProtP10636-8,UniProtP11021,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
88,1,MAPT,HSPA5,UniProtP10636-8,UniProtP11021,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
89,1,MAPT,HSPA5,UniProtP10636-8,UniProtP11021,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.64
90,1,MAPT,MAP1B,UniProtP10636-8,UniProtP46821,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
91,1,MAPT,MAP1B,UniProtP10636-8,UniProtP46821,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.64
92,1,MAPT,NCL,UniProtP10636-8,UniProtP19338,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
93,1,MAPT,NCL,UniProtP10636-8,UniProtP19338,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.64
94,1,MAPT,PPIB,UniProtP10636-8,UniProtP23284,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
95,1,MAPT,PPIB,UniProtP10636-8,UniProtP23284,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.64
96,1,MAPT,PSMC1,UniProtP10636-8,UniProtP62191,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
97,1,MAPT,PSMC1,UniProtP10636-8,UniProtP62191,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.64
98,1,MAPT,PSMD11,UniProtP10636-8,UniProtO00231,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
99,1,MAPT,PSMD11,UniProtP10636-8,UniProtO00231,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
100,1,MAPT,PSMD11,UniProtP10636-8,UniProtO00231,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.64
101,1,MAPT,PSMD3,UniProtP10636-8,UniProtO43242,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
102,1,MAPT,PSMD3,UniProtP10636-8,UniProtO43242,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
103,1,MAPT,PSMD3,UniProtP10636-8,UniProtO43242,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.64
104,1,MAPT,RPS3,UniProtP10636-8,UniProtP23396,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
105,1,MAPT,RPS3,UniProtP10636-8,UniProtP23396,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
106,1,MAPT,RPS3,UniProtP10636-8,UniProtP23396,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.64
107,1,MAPT,YWHAH,UniProtP10636-8,UniProtQ04917,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
108,1,MAPT,YWHAH,UniProtP10636-8,UniProtQ04917,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.64
109,1,MAPT,YWHAH,UniProtP10636-8,UniProtQ04917,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.64
110,1,APP,PSEN1,UniProtP05067,UniProtP49768,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,association,0.63
111,1,PSEN1,APP,UniProtP49768,UniProtP05067,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,association,0.63
112,1,C9orf72,SMCR8,UniProtQ96LT7-1,UniProtQ8TEV9,Homo sapiens,Homo sapiens,Homo sapiens motor neuron,1,anti tag coip,association,0.62
113,1,C9orf72,SMCR8,UniProtQ96LT7-1,UniProtQ8TEV9,Homo sapiens,Homo sapiens,Homo sapiens motor neuron,1,anti tag coip,physical association,0.62
114,1,MAPT,HSP90B1,UniProtP10636-8,UniProtP14625,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.62
115,1,MAPT,HSP90B1,UniProtP10636-8,UniProtP14625,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,physical association,0.62
116,1,MAPT,SCRN1,UniProtP10636-8,UniProtQ12765,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.62
117,1,MAPT,SCRN1,UniProtP10636-8,UniProtQ12765,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,physical association,0.62
118,1,APP,TGFB1,UniProtP05067,UniProtP01137,Homo sapiens,Homo sapiens,Homo sapiens 308 cystic glioblastoma cell,1,competition binding,association,0.6
119,1,APOE,TMCC2,UniProtP02649,UniProtO75069,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,physical association,0.59
120,1,APP,SLC40A1,UniProtP05067,UniProtQ9NP59,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,physical association,0.59
121,1,PRNP,FHL1,UniProtP04156,UniProtQ13642,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.59
122,1,PRNP,FHL1,UniProtP04156,UniProtQ13642,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.59
123,1,SLC40A1,APP,UniProtQ9NP59,UniProtP05067,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,physical association,0.59
124,1,TMCC2,APOE,UniProtO75069,UniProtP02649,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,physical association,0.59
125,1,TMEFF2,P05067-PRO_0000000090,UniProtQ9UIK5,UniProtP05067-PRO_0000000090,Homo sapiens,Homo sapiens,Homo sapiens MC65 neuroblastoma cell,1,anti bait coip,association,0.59
126,1,APP,FLOT1,UniProtP05067,UniProtO75955,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,physical association,0.58
127,1,APP,LRPPRC,UniProtP05067,UniProtP42704,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,association,0.58
128,1,CDC37,IFIT3,UniProtQ16543,UniProtO14879,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,association,0.58
129,1,CDC37,IFIT3,UniProtQ16543,UniProtO14879,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,association,0.58
130,1,CDC37,NOS3,UniProtQ16543,UniProtP29474,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,association,0.58
131,1,CDC37,NOS3,UniProtQ16543,UniProtP29474,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,association,0.58
132,1,FLOT1,APP,UniProtO75955,UniProtP05067,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,physical association,0.58
133,1,LRPPRC,APP,UniProtP42704,UniProtP05067,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,pla,proximity,0.58
134,1,MSI2,MSI2,UniProtQ96DH6,UniProtQ96DH6,Homo sapiens,Homo sapiens,Homo sapiens brain,1,confocal microscopy,colocalization,0.58
135,1,MSI2,MSI2,UniProtQ96DH6,UniProtQ96DH6,Homo sapiens,Homo sapiens,Homo sapiens brain,1,fluorescence imaging,colocalization,0.58
136,1,PPID,P05067-PRO_0000000092,UniProtQ08752,UniProtP05067-PRO_0000000092,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.58
137,1,PPID,P05067-PRO_0000000092,UniProtQ08752,UniProtP05067-PRO_0000000092,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,confocal microscopy,colocalization,0.58
138,1,PPID,P05067-PRO_0000000092,UniProtQ08752,UniProtP05067-PRO_0000000092,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,electron microscopy,colocalization,0.58
139,1,PSEN1,ECSIT,UniProtP49768,UniProtQ9BQ95,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,association,0.58
140,1,PSEN1,ECSIT,UniProtP49768,UniProtQ9BQ95,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,association,0.58
141,1,MAPT,ACTC1,UniProtP10636-8,UniProtP68032,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
142,1,MAPT,ACTC1,UniProtP10636-8,UniProtP68032,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
143,1,MAPT,ACTN1,UniProtP10636-8,UniProtP12814,Homo sapiens,Homo sapiens,Homo sapiens SK-N-BE(2) neuroblastoma cell,1,tap,association,0.57
144,1,MAPT,ALDOA,UniProtP10636-8,UniProtP04075,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
145,1,MAPT,AP2M1,UniProtP10636-8,UniProtQ96CW1,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
146,1,MAPT,AP2M1,UniProtP10636-8,UniProtQ96CW1,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
147,1,MAPT,atp6v1b_human,UniProtP10636-8,IntActEBI-27058934,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.57
148,1,MAPT,BASP1,UniProtP10636-8,UniProtP80723,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
149,1,MAPT,CAPRIN1,UniProtP10636-8,UniProtQ14444,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
150,1,MAPT,CCT2,UniProtP10636-8,UniProtP78371,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
151,1,MAPT,CCT3,UniProtP10636-8,UniProtP49368,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
152,1,MAPT,CCT4,UniProtP10636-8,UniProtP50991,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
153,1,MAPT,CCT7,UniProtP10636-8,UniProtQ99832,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
154,1,MAPT,CEP170,UniProtP10636-8,UniProtQ5SW79,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
155,1,MAPT,CFL1,UniProtP10636-8,UniProtP23528,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
156,1,MAPT,CIRBP,UniProtP10636-8,UniProtQ14011,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
157,1,MAPT,CLTC,UniProtP10636-8,UniProtQ00610,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
158,1,MAPT,CLTC,UniProtP10636-8,UniProtQ00610,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
159,1,MAPT,DDX1,UniProtP10636-8,UniProtQ92499,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
160,1,MAPT,DDX1,UniProtP10636-8,UniProtQ92499,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
161,1,MAPT,DDX3X,UniProtP10636-8,UniProtO00571,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
162,1,MAPT,DDX3X,UniProtP10636-8,UniProtO00571,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
163,1,MAPT,DDX3X,UniProtP10636-8,UniProtO00571,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
164,1,MAPT,DNAJA1,UniProtP10636-8,UniProtP31689,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
165,1,MAPT,EEF1A1,UniProtP10636-8,UniProtP68104,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
166,1,MAPT,EEF1A1,UniProtP10636-8,UniProtP68104,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
167,1,MAPT,EEF1A1,UniProtP10636-8,UniProtP68104,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
168,1,MAPT,EEF1A2,UniProtP10636-8,UniProtQ05639,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
169,1,MAPT,EEF1A2,UniProtP10636-8,UniProtQ05639,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
170,1,MAPT,EEF1A2,UniProtP10636-8,UniProtQ05639,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
171,1,MAPT,EEF2,UniProtP10636-8,UniProtP13639,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.57
