interactor_id,disease_id,accession,name,preferred_id,type,species,description
20,1,EBI-973722,TLR2,UniProtO60603,protein,Homo sapiens,Toll-like receptor 2
21,1,EBI-2835940,CNR2,UniProtP34972,protein,Homo sapiens,Cannabinoid receptor 2
22,1,EBI-2909859,CNR1,UniProtP21554,protein,Homo sapiens,Cannabinoid receptor 1
23,1,EBI-79333,CHRNA7,UniProtP36544,protein,Homo sapiens,Neuronal acetylcholine receptor subunit alpha-7
24,1,EBI-821758,P05067-PRO_0000000092,UniProtP05067-PRO_0000000092,protein,Homo sapiens,Amyloid-beta protein 42
25,1,EBI-516560,MARK2,UniProtQ7KZI7,protein,Homo sapiens,Serine/threonine-protein kinase MARK2
26,1,EBI-713135,DNM1,UniProtQ05193,protein,Homo sapiens,Dynamin-1
27,1,EBI-712251,NSF,UniProtP46459,protein,Homo sapiens,Vesicle-fusing ATPase
28,1,EBI-351450,SPTAN1,UniProtQ13813,protein,Homo sapiens,Spectrin alpha chain; non-erythrocytic 1
29,1,EBI-960169,STXBP1,UniProtP61764,protein,Homo sapiens,Syntaxin-binding protein 1
30,1,EBI-296047,HSP90AA1,UniProtP07900,protein,Homo sapiens,Heat shock protein HSP 90-alpha
31,1,EBI-739060,CRYAB,UniProtP02511,protein,Homo sapiens,Alpha-crystallin B chain
32,1,EBI-81694,APBB1,UniProtO00213,protein,Homo sapiens,Amyloid beta precursor protein binding family B member 1
33,1,EBI-353944,ACTB,UniProtP60709,protein,Homo sapiens,Actin; cytoplasmic 1
34,1,EBI-351896,HSPA8,UniProtP11142,protein,Homo sapiens,Heat shock cognate 71 kDa protein
35,1,EBI-947410,MBP,UniProtP02686,protein,Homo sapiens,Myelin basic protein
36,1,EBI-350338,MYH9,UniProtP35579,protein,Homo sapiens,Myosin-9
37,1,EBI-975307,DNAH1,UniProtQ9P2D7,protein,Homo sapiens,Dynein axonemal heavy chain 1
38,1,EBI-350864,TUBB,UniProtP07437,protein,Homo sapiens,Tubulin beta chain
39,1,EBI-744302,GFAP,UniProtP14136,protein,Homo sapiens,Glial fibrillary acidic protein
40,1,EBI-475646,NEFL,UniProtP07196,protein,Homo sapiens,Neurofilament light polypeptide
41,1,EBI-476263,MAP3K5,UniProtQ99683,protein,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5
42,1,EBI-437708,PPIA,UniProtP62937,protein,Homo sapiens,Peptidyl-prolyl cis-trans isomerase A
43,1,EBI-714860,UCHL1,UniProtP09936,protein,Homo sapiens,Ubiquitin carboxyl-terminal hydrolase isozyme L1
44,1,EBI-347088,YWHAZ,UniProtP63104,protein,Homo sapiens,14-3-3 protein zeta/delta
45,1,EBI-717905,PGAM1,UniProtP18669,protein,Homo sapiens,Phosphoglycerate mutase 1
46,1,EBI-707595,MARK3,UniProtP27448,protein,Homo sapiens,MAP/microtubule affinity-regulating kinase 3
47,1,EBI-968587,MARK1,UniProtQ9P0L2,protein,Homo sapiens,Serine/threonine-protein kinase MARK1
48,1,EBI-302319,MARK4,UniProtQ96L34,protein,Homo sapiens,MAP/microtubule affinity-regulating kinase 4
49,1,EBI-8790890,Q15078-PRO_0000004794,UniProtQ15078-PRO_0000004794,protein,Homo sapiens,Cyclin-dependent kinase 5 activator 1; p35
50,1,EBI-6674024,Capn1,UniProtO35350,protein,Mus musculus,Calpain-1 catalytic subunit
51,1,EBI-6510052,Cdk5,UniProtP49615,protein,Mus musculus,Cyclin-dependent kinase 5
52,1,EBI-400384,Camk2a,UniProtP11798,protein,Mus musculus,Calcium/calmodulin-dependent protein kinase type II subunit alpha
53,1,EBI-400125,Grin2b,UniProtQ01097,protein,Mus musculus,Glutamate receptor ionotropic; NMDA 2B
54,1,EBI-714158,PIN1,UniProtQ13526,protein,Homo sapiens,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1
55,1,EBI-8315491,Cluh,UniProtQ5SW19,protein,Mus musculus,Clustered mitochondria protein homolog
56,1,EBI-34602723,DSCR9,UniProtP59020,protein,Homo sapiens,Down syndrome critical region protein 9
57,1,EBI-1053596,DYRK1A,UniProtQ13627,protein,Homo sapiens,Dual specificity tyrosine-phosphorylation-regulated kinase 1A
58,1,EBI-9518967,Drosha,UniProtQ5HZJ0,protein,Mus musculus,Ribonuclease 3
59,1,EBI-5275794,Arc,UniProtQ63053,protein,Rattus norvegicus (Rat),Activity-regulated cytoskeleton-associated protein
60,1,EBI-297277,PSEN1,UniProtP49768,protein,Homo sapiens,Presenilin-1
61,1,EBI-3909653,GPR3,UniProtP46089,protein,Homo sapiens,G-protein coupled receptor 3
62,1,EBI-286155,App,UniProtP08592,protein,Rattus norvegicus (Rat),Amyloid-beta precursor protein
63,1,EBI-1570523,RIN3,UniProtQ8TB24,protein,Homo sapiens,Ras and Rab interactor 3
64,1,EBI-775152,Bin1,UniProtO08539,protein,Mus musculus,Myc box-dependent-interacting protein 1
65,1,EBI-644807,Cd2ap,UniProtQ9JLQ0,protein,Mus musculus,CD2-associated protein
66,1,EBI-2606326,P49768-PRO_0000025591,UniProtP49768-PRO_0000025591,protein,Homo sapiens,Presenilin-1 NTF subunit
67,1,EBI-397779,Arc,UniProtQ9WV31,protein,Mus musculus,Activity-regulated cytoskeleton-associated protein
68,1,EBI-9247455,APBA1,UniProtQ02410-2,protein,Homo sapiens,Amyloid-beta A4 precursor protein-binding family A member 1
69,1,EBI-348613,FLOT2,UniProtQ14254,protein,Homo sapiens,Flotillin-2
70,1,EBI-998440,NCSTN,UniProtQ92542,protein,Homo sapiens,Nicastrin
71,1,EBI-1267511,GAP43,UniProtP17677,protein,Homo sapiens,Neuromodulin
72,1,EBI-2431769,ITM2A,UniProtO43736,protein,Homo sapiens,Integral membrane protein 2A
73,1,EBI-3929079,ITIH3,UniProtQ06033,protein,Homo sapiens,Inter-alpha-trypsin inhibitor heavy chain H3
74,1,EBI-3895741,NDRG2,UniProtQ9UN36,protein,Homo sapiens,Protein NDRG2
75,1,EBI-477232,SIRT2,UniProtQ8IXJ6,protein,Homo sapiens,NAD-dependent protein deacetylase sirtuin-2
76,1,EBI-1211440,STOM,UniProtP27105,protein,Homo sapiens,Stomatin
77,1,EBI-514788,PFKM,UniProtP08237,protein,Homo sapiens,ATP-dependent 6-phosphofructokinase; muscle type
78,1,EBI-2556852,ANXA4,UniProtP09525,protein,Homo sapiens,Annexin A4
79,1,EBI-351506,GSN,UniProtP06396,protein,Homo sapiens,Gelsolin
80,1,EBI-718353,ITIH2,UniProtP19823,protein,Homo sapiens,Inter-alpha-trypsin inhibitor heavy chain H2
81,1,EBI-1055869,TRAP1,UniProtQ12931,protein,Homo sapiens,Heat shock protein 75 kDa; mitochondrial
82,1,EBI-3046631,LANCL1,UniProtO43813,protein,Homo sapiens,Glutathione S-transferase LANCL1
83,1,EBI-9979894,TNC,UniProtP24821,protein,Homo sapiens,Tenascin
84,1,EBI-20720752,OMG,UniProtP23515,protein,Homo sapiens,Oligodendrocyte-myelin glycoprotein
85,1,EBI-354101,RPLP0,UniProtP05388,protein,Homo sapiens,Large ribosomal subunit protein uL10
86,1,EBI-355416,RPLP0P6,UniProtQ8NHW5,protein,Homo sapiens,Putative ribosomal protein uL10-like
87,1,EBI-905851,C3,UniProtP01024,protein,Homo sapiens,Complement C3
88,1,EBI-1042966,BCAS1,UniProtO75363,protein,Homo sapiens,Breast carcinoma-amplified sequence 1
89,1,EBI-717681,ACACA,UniProtQ13085,protein,Homo sapiens,Acetyl-CoA carboxylase 1
90,1,EBI-1054530,IGKC,UniProtP01834,protein,Homo sapiens,Immunoglobulin kappa constant
91,1,EBI-1053513,SON,UniProtP18583,protein,Homo sapiens,Protein SON
92,1,EBI-1057480,CLIC4,UniProtQ9Y696,protein,Homo sapiens,Chloride intracellular channel protein 4
93,1,EBI-9996372,USH2A,UniProtO75445,protein,Homo sapiens,Usherin
94,1,EBI-20749419,yd022_human,UniProtQ6ZS92,protein,Homo sapiens,Putative uncharacterized protein FLJ45721
95,1,EBI-714319,TF,UniProtP02787,protein,Homo sapiens,Serotransferrin
96,1,EBI-20749422,CFAP74,UniProtQ9C0B2,protein,Homo sapiens,Cilia- and flagella-associated protein 74
97,1,EBI-2009373,SEPTIN7,UniProtQ16181,protein,Homo sapiens,Septin-7
98,1,EBI-6912536,GTPBP8,UniProtQ8N3Z3,protein,Homo sapiens,GTP-binding protein 8
99,1,EBI-1384335,PKN3,UniProtQ6P5Z2,protein,Homo sapiens,Serine/threonine-protein kinase N3
100,1,EBI-353399,SRP14,UniProtP37108,protein,Homo sapiens,Signal recognition particle 14 kDa protein
101,1,EBI-750867,SOHLH2,UniProtQ9NX45,protein,Homo sapiens,Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 2
102,1,EBI-3444189,ZNF142,UniProtP52746,protein,Homo sapiens,Zinc finger protein 142
103,1,EBI-20749448,MMP10,UniProtP09238,protein,Homo sapiens,Stromelysin-2
104,1,EBI-2115630,ITIH4,UniProtQ14624,protein,Homo sapiens,Inter-alpha-trypsin inhibitor heavy chain H4
105,1,EBI-702356,SLC3A2,UniProtP08195,protein,Homo sapiens,Amino acid transporter heavy chain SLC3A2
106,1,EBI-11579371,CFHR5,UniProtQ9BXR6,protein,Homo sapiens,Complement factor H-related protein 5
107,1,EBI-355710,CCT5,UniProtP48643,protein,Homo sapiens,T-complex protein 1 subunit epsilon
108,1,EBI-1644048,KIF1C,UniProtO43896,protein,Homo sapiens,Kinesin-like protein KIF1C
109,1,EBI-3937269,ABCA5,UniProtQ8WWZ7,protein,Homo sapiens,Cholesterol transporter ABCA5
110,1,EBI-1220319,FN1,UniProtP02751,protein,Homo sapiens,Fibronectin
111,1,EBI-352162,EEF1A1,UniProtP68104,protein,Homo sapiens,Elongation factor 1-alpha 1
112,1,EBI-877809,EEF1A1P5,UniProtQ5VTE0,protein,Homo sapiens,Putative elongation factor 1-alpha-like 3
113,1,EBI-354943,EEF1A2,UniProtQ05639,protein,Homo sapiens,Elongation factor 1-alpha 2
114,1,EBI-1220171,CP,UniProtP00450,protein,Homo sapiens,Ceruloplasmin
115,1,EBI-4287196,FBXO2,UniProtQ9UK22,protein,Homo sapiens,F-box only protein 2
116,1,EBI-1220767,HP,UniProtP00738,protein,Homo sapiens,Haptoglobin
117,1,EBI-11083133,PZP,UniProtP20742,protein,Homo sapiens,Pregnancy zone protein
118,1,EBI-640741,A2M,UniProtP01023,protein,Homo sapiens,Alpha-2-macroglobulin
119,1,EBI-968267,IRF7,UniProtQ92985,protein,Homo sapiens,Interferon regulatory factor 7
120,1,EBI-359815,YWHAB,UniProtP31946,protein,Homo sapiens,14-3-3 protein beta/alpha
121,1,EBI-366357,RPL28,UniProtP46779,protein,Homo sapiens,Large ribosomal subunit protein eL28
122,1,EBI-1222467,APOE,UniProtP02649,protein,Homo sapiens,Apolipoprotein E
123,1,EBI-20749633,WDR87,UniProtQ6ZQQ6,protein,Homo sapiens,WD repeat-containing protein 87
124,1,EBI-306940,YWHAH,UniProtQ04917,protein,Homo sapiens,14-3-3 protein eta
125,1,EBI-310986,EPB41L3,UniProtQ9Y2J2,protein,Homo sapiens,Band 4.1-like protein 3
126,1,EBI-2510738,CASP14,UniProtP31944,protein,Homo sapiens,Caspase-14
127,1,EBI-2952722,FLG2,UniProtQ5D862,protein,Homo sapiens,Filaggrin-2
128,1,EBI-1055001,S100A9,UniProtP06702,protein,Homo sapiens,Protein S100-A9
129,1,EBI-355281,S100A8,UniProtP05109,protein,Homo sapiens,Protein S100-A8
130,1,EBI-1059219,CNP,UniProtP09543,protein,Homo sapiens,2';3'-cyclic-nucleotide 3'-phosphodiesterase
131,1,EBI-2821539,SYNJ1,UniProtO43426,protein,Homo sapiens,Synaptojanin-1
132,1,EBI-954063,ATP6V0D1,UniProtP61421,protein,Homo sapiens,V-type proton ATPase subunit d 1
133,1,EBI-476295,SFN,UniProtP31947,protein,Homo sapiens,14-3-3 protein sigma
134,1,EBI-713259,FTH1,UniProtP02794,protein,Homo sapiens,Ferritin heavy chain
135,1,EBI-3923949,ATP6V0D2,UniProtQ8N8Y2,protein,Homo sapiens,V-type proton ATPase subunit d 2
136,1,EBI-8653150,PLP1,UniProtP60201,protein,Homo sapiens,Myelin proteolipid protein
137,1,EBI-310968,ASAP2,UniProtO43150,protein,Homo sapiens,Arf-GAP with SH3 domain; ANK repeat and PH domain-containing protein 2
138,1,EBI-8650380,ATP6V1E2,UniProtQ96A05,protein,Homo sapiens,V-type proton ATPase subunit E 2
139,1,EBI-1642835,AP2A2,UniProtO94973,protein,Homo sapiens,AP-2 complex subunit alpha-2
140,1,EBI-1051681,CALML5,UniProtQ9NZT1,protein,Homo sapiens,Calmodulin-like protein 5
141,1,EBI-717274,SYN1,UniProtP17600,protein,Homo sapiens,Synapsin-1
142,1,EBI-396540,TP53BP1,UniProtQ12888,protein,Homo sapiens,TP53-binding protein 1
143,1,EBI-20749861,ATP11AUN,UniProtQ6ZP68,protein,Homo sapiens,Putative protein ATP11AUN
144,1,EBI-1058782,FLG,UniProtP20930,protein,Homo sapiens,Filaggrin
145,1,EBI-9050190,NCAN,UniProtO14594,protein,Homo sapiens,Neurocan core protein
146,1,EBI-7910762,LRFN4,UniProtQ6PJG9,protein,Homo sapiens,Leucine-rich repeat and fibronectin type-III domain-containing protein 4
147,1,EBI-351007,DLST,UniProtP36957,protein,Homo sapiens,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex; mitochondrial
148,1,EBI-20749867,HAPLN1,UniProtP10915,protein,Homo sapiens,Hyaluronan and proteoglycan link protein 1
149,1,EBI-356829,HSPH1,UniProtQ92598,protein,Homo sapiens,Heat shock protein 105 kDa
150,1,EBI-351076,FSCN1,UniProtQ16658,protein,Homo sapiens,Fascin
151,1,EBI-7187133,GPM6A,UniProtP51674,protein,Homo sapiens,Neuronal membrane glycoprotein M6-a
152,1,EBI-9691987,ZNF532,UniProtQ9HCE3,protein,Homo sapiens,Zinc finger protein 532
153,1,EBI-711240,CCL18,UniProtP55774,protein,Homo sapiens,C-C motif chemokine 18
154,1,EBI-299979,LLGL1,UniProtQ15334,protein,Homo sapiens,Lethal(2) giant larvae protein homolog 1
155,1,EBI-2129220,RNF25,UniProtQ96BH1,protein,Homo sapiens,E3 ubiquitin-protein ligase RNF25
156,1,EBI-1181460,SIK3,UniProtQ9Y2K2,protein,Homo sapiens,Serine/threonine-protein kinase SIK3
157,1,EBI-6309082,FAM111B,UniProtQ6SJ93,protein,Homo sapiens,Serine protease FAM111B
158,1,EBI-1001217,ZW10,UniProtO43264,protein,Homo sapiens,Centromere/kinetochore protein zw10 homolog
159,1,EBI-308543,SPTBN4,UniProtQ9H254,protein,Homo sapiens,Spectrin beta chain; non-erythrocytic 4
160,1,EBI-310727,TET2,UniProtQ6N021,protein,Homo sapiens,Methylcytosine dioxygenase TET2
161,1,EBI-1050480,MDN1,UniProtQ9NU22,protein,Homo sapiens,Midasin
162,1,EBI-725116,SLC2A3,UniProtP11169,protein,Homo sapiens,Solute carrier family 2; facilitated glucose transporter member 3
163,1,EBI-2462339,MSI2,UniProtQ96DH6,protein,Homo sapiens,RNA-binding protein Musashi homolog 2
164,1,EBI-726515,MSI1,UniProtO43347,protein,Homo sapiens,RNA-binding protein Musashi homolog 1
165,1,EBI-985879,SNCA,UniProtP37840,protein,Homo sapiens,Alpha-synuclein
166,1,EBI-725153,SLC40A1,UniProtQ9NP59,protein,Homo sapiens,Solute carrier family 40 member 1
167,1,EBI-977302,PRNP,UniProtP04156,protein,Homo sapiens,Major prion protein
168,1,EBI-21013968,TUBB2C,UniProtQ8IZ29,protein,Homo sapiens,Tubulin beta chain
169,1,EBI-352936,SYNPO,UniProtQ8N3V7,protein,Homo sapiens,Synaptopodin
170,1,EBI-1045080,RIDA,UniProtP52758,protein,Homo sapiens,2-iminobutanoate/2-iminopropanoate deaminase
171,1,EBI-709613,ALDOA,UniProtP04075,protein,Homo sapiens,Fructose-bisphosphate aldolase A
172,1,EBI-355360,LYZ,UniProtP61626,protein,Homo sapiens,Lysozyme C
173,1,EBI-912547,FHL1,UniProtQ13642,protein,Homo sapiens,Four and a half LIM domains protein 1
174,1,EBI-353193,PRDX1,UniProtQ06830,protein,Homo sapiens,Peroxiredoxin-1
175,1,EBI-21014009,q53em5_human,UniProtQ53EM5,protein,Homo sapiens,
176,1,EBI-10193858,PMP2,UniProtP02689,protein,Homo sapiens,Myelin P2 protein
177,1,EBI-357986,H2BC3,UniProtP33778,protein,Homo sapiens,Histone H2B type 1-B
178,1,EBI-2513837,AZGP1,UniProtP25311,protein,Homo sapiens,Zinc-alpha-2-glycoprotein
179,1,EBI-716596,PPID,UniProtQ08752,protein,Homo sapiens,Peptidyl-prolyl cis-trans isomerase D
180,1,EBI-6899434,gcb,ChEBICHEBI:74858,small molecule,Chemical synthesis (Chemical synthesis),GCB
181,1,EBI-4400770,ERLIN2,UniProtO94905,protein,Homo sapiens,Erlin-2
182,1,EBI-366233,MAPT,UniProtP10636-8,protein,Homo sapiens,Microtubule-associated protein tau
183,1,EBI-307104,SQSTM1,UniProtQ13501,protein,Homo sapiens,Sequestosome-1
184,1,EBI-43451605,AP3B2,UniProtQ13367-3,protein,Homo sapiens,Isoform 3 of AP-3 complex subunit beta-2
185,1,EBI-1223374,AHSG,UniProtP02765,protein,Homo sapiens,Alpha-2-HS-glycoprotein
186,1,EBI-296980,HSPA12A,UniProtO43301,protein,Homo sapiens,Heat shock 70 kDa protein 12A
187,1,EBI-357816,PSMD11,UniProtO00231,protein,Homo sapiens,26S proteasome non-ATPase regulatory subunit 11
188,1,EBI-10965726,WDR26,UniProtQ9H7D7-2,protein,Homo sapiens,WD repeat-containing protein 26
189,1,EBI-359710,PSMC2,UniProtP35998,protein,Homo sapiens,26S proteasome regulatory subunit 7
190,1,EBI-26871546,HNRNPA1,UniProtP09651-3,protein,Homo sapiens,Heterogeneous nuclear ribonucleoprotein A1
191,1,EBI-43451616,PSMC3,UniProtE9PM69,protein,Homo sapiens,
192,1,EBI-357622,PSMD3,UniProtO43242,protein,Homo sapiens,26S proteasome non-ATPase regulatory subunit 3
193,1,EBI-43451637,MAPT,UniProtA0A0G2JQJ7,protein,Homo sapiens,Microtubule-associated protein
194,1,EBI-43451653,ATP6V0D1,UniProtJ3QL14,protein,Homo sapiens,
195,1,EBI-43451666,VAMP2,UniProtK7ENK9,protein,Homo sapiens,
196,1,EBI-1049597,CALR,UniProtP27797,protein,Homo sapiens,Calreticulin
197,1,EBI-395883,P4HB,UniProtP07237,protein,Homo sapiens,Protein disulfide-isomerase
198,1,EBI-43451679,UBA52,UniProtM0R2S1,protein,Homo sapiens,Ubiquitin-ribosomal protein eL40 fusion protein
199,1,EBI-43451700,UBC,UniProtF5H265,protein,Homo sapiens,
200,1,EBI-2687150,OXCT1,UniProtP55809,protein,Homo sapiens,Succinyl-CoA:3-ketoacid coenzyme A transferase 1; mitochondrial
201,1,EBI-359097,TUFM,UniProtP49411,protein,Homo sapiens,Elongation factor Tu; mitochondrial
202,1,EBI-3931130,IDH2,UniProtP48735,protein,Homo sapiens,Isocitrate dehydrogenase [NADP]; mitochondrial
203,1,EBI-2510837,LANCL2,UniProtQ9NS86,protein,Homo sapiens,LanC-like protein 2
204,1,EBI-357598,PSMC1,UniProtP62191,protein,Homo sapiens,26S proteasome regulatory subunit 4
205,1,EBI-1045860,PURA,UniProtQ00577,protein,Homo sapiens,Transcriptional activator protein Pur-alpha
206,1,EBI-43451713,SNAP91,UniProtE9PDG8,protein,Homo sapiens,
207,1,EBI-43451740,PSMC5,UniProtP62195-2,protein,Homo sapiens,26S proteasome regulatory subunit 8
208,1,EBI-43451746,PIP4K2A,UniProtP48426-2,protein,Homo sapiens,Isoform 2 of Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
209,1,EBI-2558394,GPI,UniProtP06744,protein,Homo sapiens,Glucose-6-phosphate isomerase
210,1,EBI-1043737,GLS,UniProtO94925,protein,Homo sapiens,Glutaminase kidney isoform; mitochondrial
211,1,EBI-21535887,IGSF8,UniProtQ969P0-3,protein,Homo sapiens,Isoform 3 of Immunoglobulin superfamily member 8
212,1,EBI-743997,PSMC4,UniProtP43686,protein,Homo sapiens,26S proteasome regulatory subunit 6B
213,1,EBI-351872,ARPC4,UniProtP59998,protein,Homo sapiens,Actin-related protein 2/3 complex subunit 4
214,1,EBI-9985649,EIF4A2,UniProtE7EQG2,protein,Homo sapiens,ATP-dependent RNA helicase
215,1,EBI-941182,ZNF365,UniProtQ70YC5,protein,Homo sapiens,Protein ZNF365
216,1,EBI-1044943,AK1,UniProtP00568,protein,Homo sapiens,Adenylate kinase isoenzyme 1
217,1,EBI-1383687,CAMK2A,UniProtQ9UQM7,protein,Homo sapiens,Calcium/calmodulin-dependent protein kinase type II subunit alpha
218,1,EBI-2932733,SERPINF1,UniProtP36955,protein,Homo sapiens,Pigment epithelium-derived factor
219,1,EBI-12072186,USP5,UniProtP45974-2,protein,Homo sapiens,Ubiquitin carboxyl-terminal hydrolase 5
220,1,EBI-43451758,STXBP1,UniProtA0A0D9SG72,protein,Homo sapiens,
221,1,EBI-2690712,SCRN1,UniProtQ12765,protein,Homo sapiens,Secernin-1
222,1,EBI-43451779,DNM1,UniProtQ05193-3,protein,Homo sapiens,Isoform 3 of Dynamin-1
223,1,EBI-359129,HSP90B1,UniProtP14625,protein,Homo sapiens,Endoplasmin
224,1,EBI-359832,YWHAG,UniProtP61981,protein,Homo sapiens,14-3-3 protein gamma
225,1,EBI-43451786,FHL1,UniProtQ5JXI8,protein,Homo sapiens,
226,1,EBI-10977666,NSF,UniProtI3L0N3,protein,Homo sapiens,Vesicle-fusing ATPase
227,1,EBI-352356,ARPC2,UniProtO15144,protein,Homo sapiens,Actin-related protein 2/3 complex subunit 2
228,1,EBI-43451800,CAMK2D,UniProtE9PBG7,protein,Homo sapiens,calcium/calmodulin-dependent protein kinase
229,1,EBI-6147668,H2AC12,UniProtQ96KK5,protein,Homo sapiens,Histone H2A type 1-H
230,1,EBI-358971,H2AC4,UniProtP04908,protein,Homo sapiens,Histone H2A type 1-B/E
231,1,EBI-10973812,SEPTIN6,UniProtQ14141-2,protein,Homo sapiens,Septin-6
232,1,EBI-351348,CBR1,UniProtP16152,protein,Homo sapiens,Carbonyl reductase [NADPH] 1
233,1,EBI-10180131,RTN1,UniProtQ16799-3,protein,Homo sapiens,Reticulon-1
234,1,EBI-299649,HNRNPA2B1,UniProtP22626,protein,Homo sapiens,Heterogeneous nuclear ribonucleoproteins A2/B1
235,1,EBI-21539593,CAMK2B,UniProtQ13554-2,protein,Homo sapiens,Calcium/calmodulin-dependent protein kinase type II subunit beta
236,1,EBI-1050662,CKMT1A,UniProtP12532,protein,Homo sapiens,Creatine kinase U-type; mitochondrial
237,1,EBI-26871577,HNRNPK,UniProtP61978-3,protein,Homo sapiens,Heterogeneous nuclear ribonucleoprotein K
238,1,EBI-351917,WDR1,UniProtO75083,protein,Homo sapiens,WD repeat-containing protein 1
239,1,EBI-347528,C1QBP,UniProtQ07021,protein,Homo sapiens,Complement component 1 Q subcomponent-binding protein; mitochondrial
240,1,EBI-3921185,NAPB,UniProtQ9H115,protein,Homo sapiens,Beta-soluble NSF attachment protein
241,1,EBI-7377157,MAP2,UniProtP11137-3,protein,Homo sapiens,Microtubule-associated protein 2
242,1,EBI-948729,KCNAB2,UniProtQ13303,protein,Homo sapiens,Voltage-gated potassium channel subunit beta-2
243,1,EBI-357648,PSMD2,UniProtQ13200,protein,Homo sapiens,26S proteasome non-ATPase regulatory subunit 2
244,1,EBI-43451824,KIF5C,UniProtA0A0G2JMZ6,protein,Homo sapiens,Kinesin-like protein
245,1,EBI-2880253,MYH7B,UniProtA7E2Y1,protein,Homo sapiens,Myosin-7B
246,1,EBI-346967,NCL,UniProtP19338,protein,Homo sapiens,Nucleolin
247,1,EBI-351467,EEF1G,UniProtP26641,protein,Homo sapiens,Elongation factor 1-gamma
248,1,EBI-1053725,COX5B,UniProtP10606,protein,Homo sapiens,Cytochrome c oxidase subunit 5B; mitochondrial
249,1,EBI-10984749,ARMC8,UniProtQ8IUR7-7,protein,Homo sapiens,Armadillo repeat-containing protein 8
250,1,EBI-356246,TUBA8,UniProtQ9NY65,protein,Homo sapiens,Tubulin alpha-8 chain
251,1,EBI-636085,RANBP9,UniProtQ96S59,protein,Homo sapiens,Ran-binding protein 9
252,1,EBI-709710,AARS1,UniProtP49588,protein,Homo sapiens,Alanine--tRNA ligase; cytoplasmic
253,1,EBI-302388,PPP2R1A,UniProtP30153,protein,Homo sapiens,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
254,1,EBI-1058865,SEC22B,UniProtO75396,protein,Homo sapiens,Vesicle-trafficking protein SEC22b
255,1,EBI-715945,RTN4,UniProtQ9NQC3,protein,Homo sapiens,Reticulon-4
256,1,EBI-11027405,ATP6V1H,UniProtQ9UI12-2,protein,Homo sapiens,V-type proton ATPase subunit H
257,1,EBI-43451850,UBA1,UniProtP22314-2,protein,Homo sapiens,Isoform 2 of Ubiquitin-like modifier-activating enzyme 1
258,1,EBI-11121453,SEPTIN11,UniProtD6RGI3,protein,Homo sapiens,Septin
259,1,EBI-43451859,SRSF7,UniProtQ16629-3,protein,Homo sapiens,Serine/arginine-rich splicing factor 7
260,1,EBI-4314821,LSAMP,UniProtQ13449,protein,Homo sapiens,Limbic system-associated membrane protein
261,1,EBI-43451865,PIN1,UniProtK7EN45,protein,Homo sapiens,Peptidyl-prolyl cis-trans isomerase
